ID,District,pH,TN,P2O5,K2O,OM,Sand,Clay,Silt,Longitude,Latitude,Dataset,SN,Texture_class,B,Zn,Source,Year,Palika,Ward.Numbe,Nepal_cropmask1,lyrid,upper_depth,lower_depth
8AABF25C,Baglung-Parbat,7,0.03,184.8,168.3,0.35,9,20,71,83.2644,28.204,Legacy_Data,590,,NA,NA,NLUP,2076,NA,NA,NA,8AABF25C_1,0,20
8AAD4D45,Kalikot,6.8699999,0.16,34,509.2,3.3,74,6,20,81.7019,29.1192,Legacy_Data,11232,SL,NA,NA,NLUP,2074,NA,NA,NA,8AAD4D45_1,0,20
8AAF456E,Doti,5.5,0.09,39.04,46.65,1.28,48,15,38,80.9715,29.0374,Legacy_Data,7148,SANDY LOAM,NA,NA,NLUP,2076,NA,NA,NA,8AAF456E_1,0,20
8AB00706,Dadeldhura,6.0999999,0.23,18.94,552.07,4.61,66,16,17,80.568,29.1669,Legacy_Data,4365,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,8AB00706_1,0,20
8AB1456C,Makwanpur,5.05,0.1,166.96,164.98,1.66,35.01,10,54.99,85.3055,27.272,Legacy_Data,15324,Silt Loam,NA,NA,NLUP,2077,NA,NA,NA,8AB1456C_1,0,20
8AB3108A,Morang,7.9000001,0.09,22.05,361.8,1.8,15.2,9.5,75.3,87.3688,26.679,Legacy_Data,16013,SiL,0.8,1,NLUP,2074,NA,NA,NA,8AB3108A_1,0,20
8AB3A610,Lamjung,5.8,0.12,166.06,69.89,4.09,29.93,20,50.07,84.5154,28.1807,Legacy_Data,13932,Silt Loam,NA,NA,NLUP,2077,NA,NA,NA,8AB3A610_1,0,20
8AB40E55,Bara,5.6999998,0.11,16.28,77.16,1.66,37.81,16.61,45.58,85.0935,26.957,Legacy_Data,2513,Loam,8.43,1.18,NLUP,2074,NA,NA,NA,8AB40E55_1,0,20
8ABB7251,Rolpa,7,0.08,97.63,166.12,3.1,43.85,41.65,14.5,82.46,28.393,Legacy_Data,23553,Clay,0.65,3.11,IWRMP,2074,NA,NA,NA,8ABB7251_1,0,20
8ABD77F3,Lamjung,5.1,0.21,110.15,91.03,7.87,33.54,16,50.46,84.5,28.0901,Legacy_Data,13701,Silt Loam,NA,NA,NLUP,2077,NA,NA,NA,8ABD77F3_1,0,20
